description,category
Erreur détectée : piston fuit.,Hydraulique
"Attention, filtre qui fait un bruit de gargouillis !",Hydraulique
"gros souci avec le alimentation, il surchauffe.",Electronique
"Gros souci avec le manomètre, il est bouché.",Hydraulique
"attention, filtre qui a éclaté !",Hydraulique
le tuyau a éclaté.,Hydraulique
Le client signale que le viseur est cassé.,Optique
le base de données est figé.,Software
"Gros souci avec le filtre, il perd de la pression.",Hydraulique
"Attention, serveur qui ne démarre pas !",Software
défaut sur windows : il ne démarre pas.,Software
"gros souci avec le linux, il a planté.",Software
Le client signale que le joint est bouché.,Hydraulique
erreur détectée : valve est percé.,Hydraulique
Il semble que le driver a planté depuis ce matin.,Software
le client signale que le linux demande un mot de passe.,Software
le manomètre fait un bruit de gargouillis.,Hydraulique
Il semble que le serveur ne répond pas depuis ce matin.,Software
"attention, linux qui a planté !",Software
Le client signale que le LED ne répond plus.,Electronique
erreur détectée : base de données est lent.,Software
Le mise à jour a crashé.,Software
Le client signale que le serveur renvoie une erreur 404.,Software
Le client signale que le base de données est figé.,Software
Le client signale que le interface a planté.,Software
Panne critique : raccord est bouché.,Hydraulique
Panne critique : objectif est déformé.,Optique
Panne critique : linux a planté.,Software
Le client signale que le système demande un mot de passe.,Software
"J'ai un problème, le pompe fuit complètement.",Hydraulique
Défaut sur système : il est lent.,Software
"Attention, lentille qui est cassé !",Optique
erreur détectée : application a crashé.,Software
"Impossible d'utiliser la machine, le joint est grippé.",Hydraulique
Erreur détectée : bouton power ne répond plus.,Electronique
"attention, objectif qui est désaligné !",Optique
"impossible d'utiliser la machine, le résistance clignote en rouge.",Electronique
"Gros souci avec le miroir, il est voilé.",Optique
Il semble que le mise à jour boucle à l'infini depuis ce matin.,Software
Erreur détectée : driver est figé.,Software
"J'ai un problème, le objectif est sale complètement.",Optique
défaut sur miroir : il manque de netteté.,Optique
Le client signale que le résistance a explosé.,Electronique
Il semble que le joint refoule du liquide depuis ce matin.,Hydraulique
Défaut sur mise au point : il ne fait plus le point.,Optique
défaut sur réservoir : il siffle fort.,Hydraulique
Défaut sur circuit imprimé : il fait des étincelles.,Electronique
"impossible d'utiliser la machine, le système est corrompu.",Software
le client signale que le valve siffle fort.,Hydraulique
"Impossible d'utiliser la machine, le licence boucle à l'infini.",Software
"j'ai un problème, le obturateur a des taches complètement.",Optique
Erreur détectée : image a des taches.,Optique
panne critique : connexion a crashé.,Software
Il semble que le zoom est bloqué depuis ce matin.,Optique
Le client signale que le capteur a des taches.,Optique
Il semble que le licence est figé depuis ce matin.,Software
"impossible d'utiliser la machine, le vanne est grippé.",Hydraulique
"attention, vanne qui fait un bruit de gargouillis !",Hydraulique
il semble que le driver demande un mot de passe depuis ce matin.,Software
Défaut sur circuit d'huile : il est sec.,Hydraulique
Le client signale que le miroir est voilé.,Optique
Il semble que le serveur est lent depuis ce matin.,Software
"attention, viseur qui a de la poussière interne !",Optique
Le client signale que le zoom a des taches.,Optique
panne critique : carte mère surchauffe.,Electronique
Il semble que le interface renvoie une erreur 404 depuis ce matin.,Software
le résistance est brûlant.,Electronique
Le client signale que le système boucle à l'infini.,Software
Défaut sur piston : il perd de la pression.,Hydraulique
il semble que le raccord a éclaté depuis ce matin.,Hydraulique
il semble que le résistance est en court-circuit depuis ce matin.,Electronique
Il semble que le disjoncteur clignote en rouge depuis ce matin.,Electronique
Défaut sur linux : il est lent.,Software
"attention, prisme qui est sale !",Optique
"attention, linux qui est corrompu !",Software
le client signale que le mise au point est rayé.,Optique
Défaut sur bouton power : il ne s'allume plus.,Electronique
"Impossible d'utiliser la machine, le batterie est brûlant.",Electronique
panne critique : circuit d'huile n'aspire plus.,Hydraulique
il semble que le bouton power fume depuis ce matin.,Electronique
Le serveur a crashé.,Software
Panne critique : mise à jour ne démarre pas.,Software
"j'ai un problème, le batterie ne répond plus complètement.",Electronique
le client signale que le joint est sec.,Hydraulique
il semble que le manomètre est grippé depuis ce matin.,Hydraulique
Il semble que le connecteur de charge est en court-circuit depuis ce matin.,Electronique
"j'ai un problème, le connexion a crashé complètement.",Software
il semble que le réservoir est percé depuis ce matin.,Hydraulique
Erreur détectée : alimentation clignote en rouge.,Electronique
le capteur est voilé.,Optique
défaut sur licence : il ne répond pas.,Software
Il semble que le image est désaligné depuis ce matin.,Optique
Panne critique : mise au point est déformé.,Optique
Défaut sur linux : il boucle à l'infini.,Software
Il semble que le vérin refoule du liquide depuis ce matin.,Hydraulique
Défaut sur interface : il affiche un écran bleu.,Software
Il semble que le diaphragme a de la poussière interne depuis ce matin.,Optique
"impossible d'utiliser la machine, le filtre est percé.",Hydraulique
"j'ai un problème, le alimentation a fondu complètement.",Electronique
Il semble que le lentille est flou depuis ce matin.,Optique
"Attention, joint qui est percé !",Hydraulique
"impossible d'utiliser la machine, le mise à jour affiche un écran bleu.",Software
"Attention, bouton power qui sent le brûlé !",Electronique
"Attention, mise à jour qui demande un mot de passe !",Software
défaut sur écran : il clignote en rouge.,Electronique
il semble que le connexion renvoie une erreur 404 depuis ce matin.,Software
"Impossible d'utiliser la machine, le zoom est flou.",Optique
Panne critique : réservoir est bouché.,Hydraulique
"attention, linux qui est figé !",Software
"impossible d'utiliser la machine, le mise au point est voilé.",Optique
"Attention, réservoir qui est sec !",Hydraulique
Le client signale que le interface boucle à l'infini.,Software
Le système est corrompu.,Software
Panne critique : zoom est cassé.,Optique
panne critique : lentille a de la poussière interne.,Optique
"Impossible d'utiliser la machine, le circuit d'huile est grippé.",Hydraulique
le client signale que le capteur est désaligné.,Optique
"Attention, base de données qui affiche un écran bleu !",Software
Il semble que le alimentation a fondu depuis ce matin.,Electronique
il semble que le application renvoie une erreur 404 depuis ce matin.,Software
erreur détectée : batterie est brûlant.,Electronique
"j'ai un problème, le batterie ne répond plus complètement.",Electronique
Le image est désaligné.,Optique
le client signale que le vanne est percé.,Hydraulique
Erreur détectée : lentille est cassé.,Optique
"Impossible d'utiliser la machine, le pompe fait un bruit de gargouillis.",Hydraulique
Le base de données affiche un écran bleu.,Software
"attention, joint qui est percé !",Hydraulique
"J'ai un problème, le tuyau est percé complètement.",Hydraulique
"Gros souci avec le windows, il ne démarre pas.",Software
"impossible d'utiliser la machine, le manomètre est percé.",Hydraulique
le résistance fait des étincelles.,Electronique
"impossible d'utiliser la machine, le obturateur a des taches.",Optique
Il semble que le focus a des taches depuis ce matin.,Optique
"J'ai un problème, le tuyau a éclaté complètement.",Hydraulique
le client signale que le écran clignote en rouge.,Electronique
"attention, résistance qui fait des étincelles !",Electronique
"Gros souci avec le système, il est corrompu.",Software
"Impossible d'utiliser la machine, le application a expiré.",Software
"impossible d'utiliser la machine, le prisme est rayé.",Optique
"impossible d'utiliser la machine, le condensateur a fondu.",Electronique
erreur détectée : vérin siffle fort.,Hydraulique
Défaut sur pompe : il a éclaté.,Hydraulique
le linux a crashé.,Software
erreur détectée : tuyau refoule du liquide.,Hydraulique
Panne critique : prisme a des taches.,Optique
"Attention, linux qui est figé !",Software
Panne critique : valve vibre énormément.,Hydraulique
Panne critique : zoom est rayé.,Optique
"Gros souci avec le linux, il est corrompu.",Software
il semble que le interface boucle à l'infini depuis ce matin.,Software
"attention, vanne qui n'aspire plus !",Hydraulique
défaut sur batterie : il fume.,Electronique
panne critique : serveur boucle à l'infini.,Software
"attention, batterie qui fume !",Electronique
"Attention, câble USB qui sent le brûlé !",Electronique
"Gros souci avec le diaphragme, il a des taches.",Optique
"Gros souci avec le piston, il fuit.",Hydraulique
Le client signale que le connecteur de charge surchauffe.,Electronique
"impossible d'utiliser la machine, le connecteur de charge fume.",Electronique
le client signale que le alimentation a explosé.,Electronique
le carte mère ne répond plus.,Electronique
le transformateur sent le brûlé.,Electronique
"gros souci avec le valve, il perd de la pression.",Hydraulique
Panne critique : manomètre fait un bruit de gargouillis.,Hydraulique
"j'ai un problème, le disjoncteur sent le brûlé complètement.",Electronique
Le client signale que le résistance est noirci.,Electronique
Le client signale que le tuyau est bouché.,Hydraulique
"impossible d'utiliser la machine, le obturateur ne fait plus le point.",Optique
Panne critique : prisme est flou.,Optique
défaut sur capteur : il est désaligné.,Optique
Le client signale que le transformateur a explosé.,Electronique
"Impossible d'utiliser la machine, le alimentation est en court-circuit.",Electronique
Il semble que le écran est noirci depuis ce matin.,Electronique
erreur détectée : capteur est déformé.,Optique
Il semble que le carte mère fait des étincelles depuis ce matin.,Electronique
"Gros souci avec le connexion, il est lent.",Software
"Attention, viseur qui ne fait plus le point !",Optique
Le client signale que le image est flou.,Optique
"Attention, licence qui est corrompu !",Software
"J'ai un problème, le condensateur a fondu complètement.",Electronique
"Impossible d'utiliser la machine, le mise au point est flou.",Optique
il semble que le connexion a crashé depuis ce matin.,Software
panne critique : joint est grippé.,Hydraulique
"impossible d'utiliser la machine, le zoom est voilé.",Optique
défaut sur connecteur de charge : il surchauffe.,Electronique
Panne critique : fusible est brûlant.,Electronique
Le client signale que le valve n'aspire plus.,Hydraulique
"j'ai un problème, le prisme est déformé complètement.",Optique
"J'ai un problème, le écran ne s'allume plus complètement.",Electronique
Erreur détectée : câble USB sent le brûlé.,Electronique
"gros souci avec le écran, il est en court-circuit.",Electronique
Il semble que le miroir ne fait plus le point depuis ce matin.,Optique
"attention, filtre qui perd de la pression !",Hydraulique
il semble que le piston vibre énormément depuis ce matin.,Hydraulique
"Attention, prisme qui a des taches !",Optique
Le client signale que le bouton power ne s'allume plus.,Electronique
"gros souci avec le zoom, il est bloqué.",Optique
"gros souci avec le focus, il est rayé.",Optique
panne critique : circuit imprimé est brûlant.,Electronique
"Gros souci avec le circuit d'huile, il refoule du liquide.",Hydraulique
erreur détectée : serveur ne répond pas.,Software
"j'ai un problème, le focus est rayé complètement.",Optique
panne critique : interface a planté.,Software
le prisme est bloqué.,Optique
"gros souci avec le connexion, il est figé.",Software
"J'ai un problème, le mise au point est rayé complètement.",Optique
panne critique : base de données est corrompu.,Software
"J'ai un problème, le joint est sec complètement.",Hydraulique
il semble que le interface a expiré depuis ce matin.,Software
"Impossible d'utiliser la machine, le mise au point est voilé.",Optique
Le connexion a planté.,Software
Le viseur est flou.,Optique
"j'ai un problème, le application demande un mot de passe complètement.",Software
"j'ai un problème, le viseur est bloqué complètement.",Optique
"impossible d'utiliser la machine, le base de données a expiré.",Software
"j'ai un problème, le circuit imprimé est noirci complètement.",Electronique
"Attention, circuit d'huile qui refoule du liquide !",Hydraulique
"attention, driver qui est figé !",Software
Le image est rayé.,Optique
il semble que le système a crashé depuis ce matin.,Software
erreur détectée : serveur renvoie une erreur 404.,Software
le client signale que le mise au point ne fait plus le point.,Optique
défaut sur fusible : il a grillé.,Electronique
Panne critique : circuit imprimé est brûlant.,Electronique
erreur détectée : bouton power est brûlant.,Electronique
"impossible d'utiliser la machine, le logiciel affiche un écran bleu.",Software
Défaut sur bouton power : il est en court-circuit.,Electronique
Défaut sur viseur : il est cassé.,Optique
défaut sur vérin : il est grippé.,Hydraulique
"gros souci avec le manomètre, il refoule du liquide.",Hydraulique
"Gros souci avec le base de données, il affiche un écran bleu.",Software
"impossible d'utiliser la machine, le base de données a crashé.",Software
il semble que le réservoir fait un bruit de gargouillis depuis ce matin.,Hydraulique
"Impossible d'utiliser la machine, le manomètre est bouché.",Hydraulique
erreur détectée : transformateur surchauffe.,Electronique
Panne critique : écran est en court-circuit.,Electronique
le client signale que le diaphragme est sale.,Optique
le capteur a de la poussière interne.,Optique
Défaut sur câble USB : il a explosé.,Electronique
"attention, prisme qui est sale !",Optique
défaut sur tuyau : il perd de la pression.,Hydraulique
"impossible d'utiliser la machine, le vanne n'aspire plus.",Hydraulique
Il semble que le obturateur est désaligné depuis ce matin.,Optique
"j'ai un problème, le condensateur fume complètement.",Electronique
"j'ai un problème, le écran est noirci complètement.",Electronique
le mise au point est déformé.,Optique
"impossible d'utiliser la machine, le manomètre est bouché.",Hydraulique
"Impossible d'utiliser la machine, le diaphragme est flou.",Optique
"Gros souci avec le condensateur, il surchauffe.",Electronique
Le miroir est déformé.,Optique
"Gros souci avec le résistance, il a explosé.",Electronique
"gros souci avec le connecteur de charge, il surchauffe.",Electronique
Il semble que le base de données est lent depuis ce matin.,Software
panne critique : windows a crashé.,Software
erreur détectée : joint perd de la pression.,Hydraulique
"Attention, application qui boucle à l'infini !",Software
Erreur détectée : alimentation ne charge pas.,Electronique
Le batterie clignote en rouge.,Electronique
erreur détectée : fusible est noirci.,Electronique
il semble que le linux est figé depuis ce matin.,Software
Le client signale que le image manque de netteté.,Optique
Panne critique : alimentation ne charge pas.,Electronique
erreur détectée : connexion demande un mot de passe.,Software
panne critique : licence affiche un écran bleu.,Software
le miroir est flou.,Optique
il semble que le linux est lent depuis ce matin.,Software
le client signale que le serveur ne démarre pas.,Software
panne critique : batterie ne répond plus.,Electronique
"attention, transformateur qui a fondu !",Electronique
"Attention, capteur qui est sale !",Optique
"Impossible d'utiliser la machine, le vérin n'aspire plus.",Hydraulique
Le image a des taches.,Optique
il semble que le focus est rayé depuis ce matin.,Optique
défaut sur mise au point : il est désaligné.,Optique
défaut sur driver : il a expiré.,Software
"attention, bouton power qui est noirci !",Electronique
le piston est grippé.,Hydraulique
Erreur détectée : système a crashé.,Software
il semble que le condensateur clignote en rouge depuis ce matin.,Electronique
"j'ai un problème, le viseur est déformé complètement.",Optique
Le base de données a planté.,Software
erreur détectée : mise à jour est figé.,Software
Défaut sur linux : il est figé.,Software
il semble que le connecteur de charge est en court-circuit depuis ce matin.,Electronique
Erreur détectée : image a des taches.,Optique
le windows boucle à l'infini.,Software
"impossible d'utiliser la machine, le valve perd de la pression.",Hydraulique
"attention, valve qui fait un bruit de gargouillis !",Hydraulique
Erreur détectée : système affiche un écran bleu.,Software
défaut sur câble usb : il fait des étincelles.,Electronique
"Impossible d'utiliser la machine, le vanne est grippé.",Hydraulique
Le client signale que le application est lent.,Software
Le client signale que le écran fume.,Electronique
"Impossible d'utiliser la machine, le alimentation est brûlant.",Electronique
Défaut sur batterie : il clignote en rouge.,Electronique
Le client signale que le circuit imprimé surchauffe.,Electronique
"Attention, obturateur qui manque de netteté !",Optique
le licence a crashé.,Software
"attention, linux qui renvoie une erreur 404 !",Software
"j'ai un problème, le mise à jour a crashé complètement.",Software
"impossible d'utiliser la machine, le miroir est déformé.",Optique
"Gros souci avec le miroir, il est désaligné.",Optique
erreur détectée : fusible est en court-circuit.,Electronique
le client signale que le disjoncteur a fondu.,Electronique
il semble que le raccord perd de la pression depuis ce matin.,Hydraulique
Le base de données a crashé.,Software
"Gros souci avec le serveur, il ne répond pas.",Software
Erreur détectée : manomètre est grippé.,Hydraulique
"attention, interface qui a expiré !",Software
Le disjoncteur est brûlant.,Electronique
le tuyau siffle fort.,Hydraulique
"j'ai un problème, le viseur est désaligné complètement.",Optique
Le valve n'aspire plus.,Hydraulique
il semble que le mise au point est désaligné depuis ce matin.,Optique
le client signale que le écran sent le brûlé.,Electronique
Le client signale que le focus est sale.,Optique
Le base de données est corrompu.,Software
le client signale que le condensateur ne s'allume plus.,Electronique
"gros souci avec le manomètre, il fait un bruit de gargouillis.",Hydraulique
"Gros souci avec le image, il est désaligné.",Optique
le pompe est sec.,Hydraulique
"J'ai un problème, le résistance surchauffe complètement.",Electronique
"Gros souci avec le fusible, il est brûlant.",Electronique
"gros souci avec le connecteur de charge, il est noirci.",Electronique
"impossible d'utiliser la machine, le joint perd de la pression.",Hydraulique
il semble que le mise au point ne fait plus le point depuis ce matin.,Optique
"impossible d'utiliser la machine, le câble usb fume.",Electronique
"Gros souci avec le écran, il est en court-circuit.",Electronique
"Gros souci avec le circuit d'huile, il n'aspire plus.",Hydraulique
panne critique : connexion a crashé.,Software
Erreur détectée : interface a expiré.,Software
Le client signale que le base de données est lent.,Software
il semble que le connexion est figé depuis ce matin.,Software
"j'ai un problème, le valve est percé complètement.",Hydraulique
Il semble que le vanne est sec depuis ce matin.,Hydraulique
Le client signale que le application renvoie une erreur 404.,Software
"Gros souci avec le résistance, il clignote en rouge.",Electronique
défaut sur connecteur de charge : il a explosé.,Electronique
Le client signale que le logiciel ne répond pas.,Software
le connecteur de charge ne répond plus.,Electronique
Le disjoncteur est en court-circuit.,Electronique
il semble que le obturateur manque de netteté depuis ce matin.,Optique
le client signale que le carte mère a grillé.,Electronique
il semble que le logiciel renvoie une erreur 404 depuis ce matin.,Software
panne critique : zoom est voilé.,Optique
défaut sur zoom : il ne fait plus le point.,Optique
"J'ai un problème, le alimentation a fondu complètement.",Electronique
erreur détectée : vérin a éclaté.,Hydraulique
Erreur détectée : circuit imprimé ne répond plus.,Electronique
"impossible d'utiliser la machine, le disjoncteur sent le brûlé.",Electronique
"gros souci avec le batterie, il est en court-circuit.",Electronique
erreur détectée : carte mère a fondu.,Electronique
le client signale que le zoom est désaligné.,Optique
le interface renvoie une erreur 404.,Software
"Gros souci avec le vanne, il fuit.",Hydraulique
"J'ai un problème, le serveur est corrompu complètement.",Software
Le prisme est désaligné.,Optique
Panne critique : capteur est bloqué.,Optique
"J'ai un problème, le connecteur de charge ne charge pas complètement.",Electronique
"J'ai un problème, le batterie fait des étincelles complètement.",Electronique
Le valve est bouché.,Hydraulique
"impossible d'utiliser la machine, le diaphragme a des taches.",Optique
défaut sur batterie : il surchauffe.,Electronique
Défaut sur prisme : il manque de netteté.,Optique
le client signale que le base de données ne répond pas.,Software
panne critique : miroir est désaligné.,Optique
le diaphragme manque de netteté.,Optique
le client signale que le mise au point manque de netteté.,Optique
"Gros souci avec le capteur, il est flou.",Optique
Le client signale que le base de données affiche un écran bleu.,Software
"Gros souci avec le raccord, il est sec.",Hydraulique
Panne critique : condensateur a grillé.,Electronique
"j'ai un problème, le image a des taches complètement.",Optique
il semble que le vérin est sec depuis ce matin.,Hydraulique
"Attention, carte mère qui sent le brûlé !",Electronique
Le carte mère a fondu.,Electronique
le client signale que le led a explosé.,Electronique
Erreur détectée : logiciel affiche un écran bleu.,Software
Défaut sur mise à jour : il est lent.,Software
"Impossible d'utiliser la machine, le filtre est bouché.",Hydraulique
il semble que le windows est figé depuis ce matin.,Software
défaut sur obturateur : il est désaligné.,Optique
le client signale que le pompe est bouché.,Hydraulique
Panne critique : valve n'aspire plus.,Hydraulique
panne critique : mise à jour affiche un écran bleu.,Software
le driver est corrompu.,Software
Panne critique : vérin fait un bruit de gargouillis.,Hydraulique
"Gros souci avec le filtre, il est percé.",Hydraulique
"gros souci avec le base de données, il affiche un écran bleu.",Software
"impossible d'utiliser la machine, le objectif est rayé.",Optique
"impossible d'utiliser la machine, le filtre a éclaté.",Hydraulique
Le interface boucle à l'infini.,Software
"Gros souci avec le viseur, il a des taches.",Optique
défaut sur carte mère : il ne s'allume plus.,Electronique
"j'ai un problème, le objectif est désaligné complètement.",Optique
"impossible d'utiliser la machine, le zoom est cassé.",Optique
"gros souci avec le joint, il vibre énormément.",Hydraulique
il semble que le driver a planté depuis ce matin.,Software
Panne critique : réservoir n'aspire plus.,Hydraulique
"Attention, LED qui a explosé !",Electronique
Panne critique : manomètre est percé.,Hydraulique
"J'ai un problème, le viseur a de la poussière interne complètement.",Optique
"attention, piston qui fait un bruit de gargouillis !",Hydraulique
Le client signale que le joint est bouché.,Hydraulique
"Attention, système qui affiche un écran bleu !",Software
il semble que le valve n'aspire plus depuis ce matin.,Hydraulique
le manomètre siffle fort.,Hydraulique
Le client signale que le manomètre est grippé.,Hydraulique
"gros souci avec le obturateur, il est sale.",Optique
"Attention, carte mère qui sent le brûlé !",Electronique
"gros souci avec le circuit imprimé, il fait des étincelles.",Electronique
"j'ai un problème, le filtre fuit complètement.",Hydraulique
panne critique : piston fuit.,Hydraulique
"gros souci avec le transformateur, il ne répond plus.",Electronique
Panne critique : application affiche un écran bleu.,Software
"Gros souci avec le capteur, il a de la poussière interne.",Optique
"Gros souci avec le focus, il manque de netteté.",Optique
Défaut sur câble USB : il ne s'allume plus.,Electronique
Il semble que le miroir est désaligné depuis ce matin.,Optique
"Attention, condensateur qui a grillé !",Electronique
"Impossible d'utiliser la machine, le windows renvoie une erreur 404.",Software
Le câble USB fume.,Electronique
panne critique : logiciel est figé.,Software
"gros souci avec le objectif, il est déformé.",Optique
Erreur détectée : système demande un mot de passe.,Software
"impossible d'utiliser la machine, le circuit d'huile perd de la pression.",Hydraulique
"j'ai un problème, le manomètre est percé complètement.",Hydraulique
erreur détectée : tuyau a éclaté.,Hydraulique
"J'ai un problème, le mise à jour boucle à l'infini complètement.",Software
Le valve est bouché.,Hydraulique
"Gros souci avec le connecteur de charge, il est noirci.",Electronique
"Gros souci avec le mise à jour, il ne démarre pas.",Software
Erreur détectée : miroir manque de netteté.,Optique
"Gros souci avec le LED, il a explosé.",Electronique
le vanne refoule du liquide.,Hydraulique
Le bouton power fume.,Electronique
"Gros souci avec le manomètre, il n'aspire plus.",Hydraulique
Panne critique : miroir est désaligné.,Optique
"Impossible d'utiliser la machine, le résistance est noirci.",Electronique
le fusible a explosé.,Electronique
Défaut sur câble USB : il a grillé.,Electronique
Erreur détectée : réservoir perd de la pression.,Hydraulique
défaut sur miroir : il est bloqué.,Optique
"gros souci avec le mise à jour, il ne répond pas.",Software
le client signale que le base de données ne démarre pas.,Software
"impossible d'utiliser la machine, le raccord fait un bruit de gargouillis.",Hydraulique
Défaut sur écran : il a fondu.,Electronique
"J'ai un problème, le linux a crashé complètement.",Software
le client signale que le réservoir n'aspire plus.,Hydraulique
Erreur détectée : fusible est noirci.,Electronique
"j'ai un problème, le lentille ne fait plus le point complètement.",Optique
"gros souci avec le carte mère, il a grillé.",Electronique
Le client signale que le serveur demande un mot de passe.,Software
"J'ai un problème, le zoom est désaligné complètement.",Optique
"Impossible d'utiliser la machine, le condensateur a grillé.",Electronique
panne critique : obturateur est rayé.,Optique
défaut sur disjoncteur : il est brûlant.,Electronique
Il semble que le résistance est noirci depuis ce matin.,Electronique
le raccord vibre énormément.,Hydraulique
"Impossible d'utiliser la machine, le transformateur ne répond plus.",Electronique
panne critique : alimentation sent le brûlé.,Electronique
Panne critique : écran surchauffe.,Electronique
"Impossible d'utiliser la machine, le transformateur sent le brûlé.",Electronique
le tuyau est sec.,Hydraulique
panne critique : pompe est percé.,Hydraulique
"Impossible d'utiliser la machine, le mise à jour est corrompu.",Software
Il semble que le logiciel demande un mot de passe depuis ce matin.,Software
"j'ai un problème, le interface est figé complètement.",Software
panne critique : vérin est grippé.,Hydraulique
il semble que le piston fuit depuis ce matin.,Hydraulique
le réservoir a éclaté.,Hydraulique
le client signale que le base de données renvoie une erreur 404.,Software
"gros souci avec le pompe, il est sec.",Hydraulique
erreur détectée : manomètre siffle fort.,Hydraulique
"J'ai un problème, le LED surchauffe complètement.",Electronique
Erreur détectée : linux demande un mot de passe.,Software
Le client signale que le raccord est percé.,Hydraulique
Erreur détectée : viseur est sale.,Optique
le client signale que le base de données affiche un écran bleu.,Software
"Attention, manomètre qui est bouché !",Hydraulique
le client signale que le valve est sec.,Hydraulique
le driver demande un mot de passe.,Software
"impossible d'utiliser la machine, le alimentation est en court-circuit.",Electronique
Le client signale que le serveur est figé.,Software
Il semble que le mise à jour affiche un écran bleu depuis ce matin.,Software
panne critique : piston fait un bruit de gargouillis.,Hydraulique
Panne critique : bouton power sent le brûlé.,Electronique
panne critique : tuyau est percé.,Hydraulique
"j'ai un problème, le transformateur ne répond plus complètement.",Electronique
Le client signale que le prisme est cassé.,Optique
Défaut sur lentille : il est voilé.,Optique
Le client signale que le zoom a de la poussière interne.,Optique
"Attention, lentille qui a des taches !",Optique
erreur détectée : transformateur ne s'allume plus.,Electronique
Il semble que le diaphragme est sale depuis ce matin.,Optique
panne critique : résistance fait des étincelles.,Electronique
"gros souci avec le filtre, il n'aspire plus.",Hydraulique
Défaut sur vanne : il n'aspire plus.,Hydraulique
Erreur détectée : carte mère ne s'allume plus.,Electronique
"Impossible d'utiliser la machine, le objectif est cassé.",Optique
défaut sur écran : il a grillé.,Electronique
Défaut sur mise à jour : il affiche un écran bleu.,Software
"J'ai un problème, le prisme est déformé complètement.",Optique
le client signale que le tuyau a éclaté.,Hydraulique
Le circuit imprimé sent le brûlé.,Electronique
"J'ai un problème, le valve est sec complètement.",Hydraulique
Le client signale que le raccord refoule du liquide.,Hydraulique
Erreur détectée : windows boucle à l'infini.,Software
Défaut sur manomètre : il est sec.,Hydraulique
le connecteur de charge clignote en rouge.,Electronique
Le client signale que le alimentation a grillé.,Electronique
Erreur détectée : bouton power fait des étincelles.,Electronique
Il semble que le windows est corrompu depuis ce matin.,Software
Erreur détectée : joint refoule du liquide.,Hydraulique
erreur détectée : capteur est cassé.,Optique
défaut sur batterie : il clignote en rouge.,Electronique
Défaut sur bouton power : il ne répond plus.,Electronique
défaut sur tuyau : il est bouché.,Hydraulique
"impossible d'utiliser la machine, le vanne refoule du liquide.",Hydraulique
"impossible d'utiliser la machine, le image est cassé.",Optique
il semble que le disjoncteur clignote en rouge depuis ce matin.,Electronique
il semble que le focus est voilé depuis ce matin.,Optique
"impossible d'utiliser la machine, le logiciel renvoie une erreur 404.",Software
Défaut sur pompe : il est sec.,Hydraulique
le client signale que le carte mère est brûlant.,Electronique
défaut sur condensateur : il surchauffe.,Electronique
"Impossible d'utiliser la machine, le base de données ne répond pas.",Software
Le client signale que le vanne n'aspire plus.,Hydraulique
le client signale que le lentille est désaligné.,Optique
Le client signale que le raccord fuit.,Hydraulique
"Gros souci avec le pompe, il fuit.",Hydraulique
"impossible d'utiliser la machine, le led ne charge pas.",Electronique
erreur détectée : connecteur de charge est en court-circuit.,Electronique
"j'ai un problème, le câble usb ne répond plus complètement.",Electronique
"j'ai un problème, le tuyau est grippé complètement.",Hydraulique
"impossible d'utiliser la machine, le manomètre fuit.",Hydraulique
défaut sur joint : il fuit.,Hydraulique
Il semble que le filtre est sec depuis ce matin.,Hydraulique
"Gros souci avec le capteur, il a des taches.",Optique
"Gros souci avec le viseur, il est voilé.",Optique
il semble que le connexion a planté depuis ce matin.,Software
Défaut sur interface : il boucle à l'infini.,Software
"Impossible d'utiliser la machine, le lentille est bloqué.",Optique
le mise au point a des taches.,Optique
Il semble que le valve est percé depuis ce matin.,Hydraulique
erreur détectée : capteur est cassé.,Optique
Panne critique : filtre a éclaté.,Hydraulique
"Impossible d'utiliser la machine, le pompe est bouché.",Hydraulique
Le fusible fume.,Electronique
Défaut sur circuit d'huile : il est percé.,Hydraulique
Défaut sur connecteur de charge : il sent le brûlé.,Electronique
"attention, licence qui est corrompu !",Software
"impossible d'utiliser la machine, le écran ne s'allume plus.",Electronique
"gros souci avec le manomètre, il fuit.",Hydraulique
"Impossible d'utiliser la machine, le lentille est désaligné.",Optique
Erreur détectée : système affiche un écran bleu.,Software
le client signale que le diaphragme ne fait plus le point.,Optique
"gros souci avec le connexion, il est lent.",Software
"gros souci avec le interface, il est corrompu.",Software
"gros souci avec le diaphragme, il est sale.",Optique
Panne critique : réservoir n'aspire plus.,Hydraulique
erreur détectée : diaphragme est déformé.,Optique
le réservoir perd de la pression.,Hydraulique
"Attention, piston qui est bouché !",Hydraulique
Erreur détectée : fusible ne répond plus.,Electronique
"J'ai un problème, le circuit imprimé est noirci complètement.",Electronique
le alimentation clignote en rouge.,Electronique
panne critique : filtre fait un bruit de gargouillis.,Hydraulique
Il semble que le système est corrompu depuis ce matin.,Software
Le raccord est sec.,Hydraulique
"j'ai un problème, le capteur ne fait plus le point complètement.",Optique
Erreur détectée : windows a planté.,Software
panne critique : fusible ne répond plus.,Electronique
Le client signale que le zoom est bloqué.,Optique
"impossible d'utiliser la machine, le logiciel ne répond pas.",Software
le client signale que le mise à jour renvoie une erreur 404.,Software
"Gros souci avec le mise à jour, il affiche un écran bleu.",Software
erreur détectée : windows renvoie une erreur 404.,Software
il semble que le batterie sent le brûlé depuis ce matin.,Electronique
